"Ticker","Nome","Negócios","Última (R$)","Variação"
"TTEN3","3tentos","2.806.700","13,95","-2,92%"
"ISAE4","ISA Energia","2.797.300","23,40","-0,64%"
"VIVA3","Vivara","2.712.500","25,99","+1,05%"
"RCSL4","Recrusul","2.705.400","1,16","+6,42%"
"DIRR3","Direcional","2.677.800","40,66","+0,77%"
"BHIA3","Casas Bahia","2.453.800","3,98","-3,86%"
"ODPV3","Odontoprev","2.420.400","11,00","+0,46%"
"GRND3","Grendene","2.355.100","5,39","+0,37%"
"SBFG3","Grupo SBF","2.329.500","12,29","+3,10%"
"RECV3","PetroRecôncavo","2.216.800","14,47","-1,03%"
"CSMG3","COPASA","2.162.100","23,88","-3,79%"
"CEAB3","C&A","2.157.400","17,83","+0,68%"
"POSI3","Positivo","2.089.500","4,72","-2,68%"
"SMTO3","São Martinho","1.928.500","21,16","-0,28%"
"DXCO3","Dexco","1.768.500","5,55","+0,36%"
"BPAN4","Banco Pan","1.733.700","9,10","+0,22%"
"ALPA4","Alpargatas","1.717.600","9,18","-1,29%"
"SLCE3","SLC Agrícola","1.598.000","18,89","-2,12%"
"VULC3","Vulcabras","1.519.100","20,30","-0,83%"
"GFSA3","Gafisa","1.434.200","1,22","+0,83%"
"AZTE3","AZT Energia","1.433.600","0,67","+0,00%"
"SAPR4","Sanepar","1.433.400","6,51","-0,61%"
"PGMN3","Pague Menos","1.399.900","3,48","-2,79%"
"PDGR3","PDG Realty","1.370.400","0,34","-2,86%"
"EZTC3","EZTEC","1.346.400","13,33","+1,29%"
"TEND3","Construtora Tenda","1.324.900","23,09","+1,32%"
"ALUP11","Alupar","1.302.700","30,69","-0,45%"
"KEPL3","Kepler Weber","1.279.900","8,12","-1,81%"
"ONCO3","Oncoclínicas","1.218.100","5,04","+0,80%"
"AMER3","Americanas","1.194.600","5,13","-1,16%"
"CMIG3","Cemig","1.187.600","17,33","-7,57%"
"MLAS3","Multilaser","1.140.100","1,04","-0,95%"
"SAPR11","Sanepar","1.126.500","32,77","-0,58%"
"IRBR3","IRB Brasil RE","1.115.100","49,16","+1,80%"
"EVEN3","Even","1.078.500","7,19","+0,70%"
"AZEV3","Azevedo & Travassos","1.054.000","0,56","-1,75%"
"PORT3","Wilson Sons","1.049.200","17,37","+0,35%"
"VTRU3","VITRUBREPCOM","1.027.300","9,50","+2,04%"
"KLBN3","Klabin","930.100","3,80","-3,55%"
"ENJU3","Enjoei","923.300","1,19","+0,00%"
"CAML3","Camil Alimentos","915.800","4,75","-0,84%"
"LAVV3","Lavvi Incorporadora","910.100","11,60","-1,36%"
"DASA3","Dasa","899.000","1,59","-1,24%"
"BRSR6","Banrisul","809.400","12,01","-1,15%"
"MILS3","Mills","801.700","10,66","-0,28%"
"GUAR3","Guararapes","792.100","8,54","+1,67%"
"TRIS3","Trisul","778.200","7,79","+0,91%"
"AMBP3","Ambipar","773.900","192,00","+10,98%"
"ITUB3","Itaú Unibanco","765.200","33,35","+0,15%"
"MYPK3","Iochpe-Maxion","723.100","12,15","-2,33%"
"TFCO4","Track & Field","699.700","14,49","+2,19%"
"JALL3","Jalles Machado","698.300","4,10","+0,00%"
"LIGT3","Light","690.600","6,20","-0,64%"
"ARML3","Armac","688.400","4,90","-2,00%"
"PLPL3","Plano&Plano","664.100","14,66","+1,17%"
"MTRE3","Mitre Realty","626.600","4,03","-0,74%"
"ABCB4","Banco ABC Brasil","615.500","20,95","-2,56%"
"TUPY3","Tupy","610.700","19,25","-2,83%"
"FESA4","Ferbasa","599.200","7,02","-0,57%"
"RANI3","Irani","579.600","7,47","-1,06%"
"VVEO3","Viveo","568.400","1,37","+1,48%"
"ESPA3","Espaçolaser","566.600","1,00","-4,76%"
"VLID3","Valid","549.300","26,96","-0,44%"
"ZAMP3","Zamp","546.600","3,43","+0,00%"
"BRBI11","BR Partners","540.700","15,25","-1,61%"
"MBLY3","Mobly","523.100","0,98","-1,01%"
"NEOE3","Neoenergia","499.200","25,05","-0,44%"
"SEER3","Ser Educacional","499.200","10,12","+0,70%"
"POMO3","Marcopolo","473.200","5,84","+0,69%"
"PTBL3","Portobello","439.400","5,15","-6,19%"
"FRAS3","Fras-le","437.500","26,34","+0,15%"
"HBOR3","Helbor","421.200","2,55","+2,00%"
"ORVR3","Orizon","416.600","51,91","-2,04%"
"MDNE3","Moura Dubeux","398.500","20,66","+0,93%"
"MATD3","Mater Dei","397.300","4,74","-0,21%"
"SOJA3","Boa Safra Sementes","391.800","11,20","-1,58%"
"MDIA3","M. Dias Branco","387.100","23,78","-1,29%"
"SHUL4","Schulz","371.100","5,46","-0,73%"
"JSLG3","JSL","368.300","6,22","-1,89%"
"PRNR3","Priner","349.000","16,00","-0,37%"
"SYNE3","SYN","347.300","6,06","+0,66%"
"BMGB4","Banco BMG","337.700","3,71","+0,00%"
"SAPR3","Sanepar","315.800","6,55","-1,50%"
"SEQL3","Sequoia Logística","313.800","1,77","-2,75%"
"PMAM3","Paranapanema","312.400","2,22","+4,23%"
"CSED3","Cruzeiro do Sul Educacional","299.900","5,28","-0,19%"
"USIM3","Usiminas","284.500","5,10","-1,73%"
"LEVE3","Mahle Metal Leve","283.100","32,10","-2,04%"
"WIZC3","Wiz Soluções","279.300","7,19","-0,42%"
"TGMA3","Tegma","278.600","36,73","-1,16%"
"EQPA3","Equatorial Energia Pará","277.600","5,80","+0,00%"
"FIQE3","Unifique","235.800","3,90","-0,26%"
"TASA4","Taurus","231.000","7,70","-0,65%"
"BLAU3","Blau Farmacêutica","230.800","14,00","-0,71%"
"AMOB3","Automob","230.300","12,50","-6,86%"
"BRST3","Brisanet","230.200","2,80","-1,06%"
"OPCT3","OceanPact","210.000","5,83","-3,00%"
"AMAR3","Lojas Marisa","198.100","1,48","+0,68%"
"MEAL3","IMC Alimentação","193.700","1,19","-0,83%"
"DESK3","Desktop","193.500","9,46","-0,94%"
"HBRE3","HBR Realty","189.500","3,49","-1,13%"
"PFRM3","Profarma","189.300","8,72","+0,46%"
"TCSA3","Tecnisa","182.000","1,20","+0,00%"
"UNIP6","Unipar","178.900","60,10","-1,80%"
"MELK3","Melnick","174.700","3,41","+0,29%"
"BMOB3","Bemobi","161.400","19,06","-0,68%"
"PINE4","Banco Pine","160.800","5,30","+0,00%"
"AERI3","Aeris Energy","154.200","4,20","-0,71%"
"LOGG3","LOG CP","147.400","21,14","-1,67%"
"RCSL3","Recrusul","146.500","2,72","+0,00%"
"AGRO3","BrasilAgro","141.300","21,02","-2,14%"
"PNVL3","Dimed","140.800","8,70","-0,11%"
"WEST3","Westwing","131.100","4,36","-4,80%"
"RNEW4","Renova Energia","128.700","0,84","-2,33%"
"VITT3","Vittia","127.400","4,62","+0,43%"
"ROMI3","Indústrias ROMI","126.700","9,28","-0,32%"
"SCAR3","São Carlos","125.500","17,00","-7,56%"
"BRAP3","Bradespar","111.600","14,69","-2,84%"
"RAPT3","Randon","111.200","8,02","+3,22%"
"ETER3","Eternit","99.600","4,29","-0,92%"
"TAEE4","Taesa","93.700","11,81","-0,76%"
"DEXP3","Dexxos","93.700","9,38","-1,26%"
"SHOW3","Time For Fun","90.500","7,00","+12,36%"
"TECN3","Technos","88.400","6,39","+1,11%"
"FICT3","Fictor Alimentos","74.800","3,90","+1,83%"
"DMVF3","D1000 Varejo Farma","72.600","5,40","-0,74%"
"ALPK3","Estapar","69.200","3,25","+0,62%"
"TAEE3","Taesa","59.000","11,74","-0,25%"
"ITSA3","Itaúsa","58.900","11,07","+0,00%"
"EUCA4","Eucatex","57.600","18,79","+0,21%"
"INEP4","Inepar","57.200","1,62","-0,61%"
"VSTE3","LE LIS BLANC","54.100","6,01","+0,00%"
"FHER3","Fertilizantes Heringer","50.100","5,18","-0,19%"
"AALR3","Alliança","49.400","6,09","+1,50%"
"LPSB3","Lopes","47.400","1,75","-2,23%"
"UCAS3","Unicasa","46.300","1,55","+2,65%"
"LUPA3","Lupatech","45.400","1,22","+1,67%"
"IGTI3","Iguatemi","44.800","2,72","+0,37%"
"IGTI3","Jereissati Participações","44.800","2,72","+0,37%"
"SANB4","Banco Santander","44.100","15,40","-0,71%"
"TRAD3","Traders Club","43.900","9,00","-1,10%"
"DOTZ3","Dotz","40.900","7,97","+19,85%"
"SANB3","Banco Santander","39.800","14,07","-0,50%"
"ALLD3","Allied","35.100","7,12","+0,85%"
"PDTC3","Padtec","34.900","1,18","-3,28%"
"CSUD3","CSU Cardsystem","31.900","18,10","+0,56%"
"INEP3","Inepar","29.800","2,31","+4,05%"
"GOAU3","Metalúrgica Gerdau","28.900","8,57","-2,39%"
"GGBR3","Gerdau","26.700","14,54","-2,94%"
"OFSA3","Ourofino Saúde Animal","26.400","24,60","+1,65%"
"BRKM3","Braskem","26.200","11,65","-5,67%"
"RNEW3","Renova Energia","24.500","0,85","-1,16%"
"RSID3","Rossi Residencial","21.500","1,86","-5,10%"
"BOBR4","Bombril","20.400","1,68","+7,01%"
"BIOM3","Biomm","19.300","10,37","-0,58%"
"LVTC3","WDC Networks","18.100","3,40","+1,19%"
"CAMB3","Cambuci","17.900","9,75","-3,94%"
"AGXY3","AgroGalaxy","17.900","6,34","-2,61%"
"TELB3","Telebras","17.600","13,34","+3,01%"
"ELMD3","Eletromidia","15.600","31,20","+0,94%"
"LAND3","Terra Santa","15.500","11,99","+2,04%"
"BMEB4","Banco Mercantil do Brasil","14.800","39,59","+0,64%"
"FIEI3","Fica","13.500","11,00","+0,46%"
"CEBR6","CEB","12.800","20,95","-0,10%"
"RDNI3","RNI","12.100","2,69","-2,54%"
"PTNT4","Pettenati","11.500","4,66","+0,00%"
"AMAR11","Lojas Marisa","11.200","0,30","+15,38%"
"BPAC5","Banco BTG Pactual","10.600","8,44","-3,10%"
"EPAR3","Embpar Participações","9.900","4,75","+2,81%"
"NUTR3","Nutriplant","9.600","3,41","-2,01%"
"BAZA3","Banco da Amazônia","8.700","76,00","-0,89%"
"REAG3","REAG3","8.400","4,01","+0,25%"
"CLSC4","Celesc","8.200","98,83","+1,64%"
"LOGN3","Log-In","8.200","25,55","+0,00%"
"ATED3","ATOM EDUCAÇÃO E EDITORA S.A.","8.200","1,91","+0,00%"
"VIVR3","Viver","8.000","0,91","+2,25%"
"JFEN3","João Fortes","7.900","1,94","-2,51%"
"EALT4","Electro Aço Altona","7.500","14,62","-3,18%"
"BEES3","Banestes","7.200","8,64","+0,35%"
"TASA3","Taurus","6.300","7,95","-0,13%"
"CEBR3","CEB","5.800","19,10","+2,14%"
"TPIS3","Triunfo","5.500","4,04","+0,00%"
"ATMP3","Atma","5.200","1,26","-0,79%"
"CEBR5","CEB","5.000","18,80","-1,05%"
"LUXM4","Trevisa","5.000","6,00","+0,17%"
"OSXB3","OSX Brasil","4.900","2,70","+0,37%"
"ALPA3","Alpargatas","4.800","8,95","-0,22%"
"TELB4","Telebras","4.600","8,92","-3,25%"
"CGRA4","Grazziotin","4.300","27,58","+1,96%"
"ALUP4","Alupar","4.300","10,14","+2,42%"
"CRPG5","Tronox Pigmentos","3.900","21,99","+2,18%"
"CEDO4","Cedro Têxtil","3.900","18,00","-7,69%"
"EALT3","Electro Aço Altona","3.600","15,02","+2,39%"
"OIBR4","Oi","3.600","8,37","+1,33%"
"MGEL4","Mangels","3.600","5,21","-0,76%"
"HAGA4","Haga","3.300","1,24","+2,48%"
